quarter,tokens-fungible,infrastructure-meta,reputation-identity,security-permissions,nft,defi,rwa,account-abstraction,governance,agentic-workflows,other
2015Q4,1,0,0,0,0,0,0,0,0,0,0
2016Q1,0,2,0,1,0,0,0,0,0,0,0
2016Q2,0,0,1,0,0,0,0,0,0,0,0
2016Q4,0,0,2,0,0,0,0,0,0,0,0
2017Q1,0,2,0,0,0,0,0,0,0,0,0
2017Q2,1,3,0,0,0,0,0,0,0,0,0
2017Q3,0,1,0,0,0,0,0,0,0,0,0
2017Q4,1,1,0,0,0,0,0,0,0,0,1
2018Q1,1,5,0,3,2,2,1,0,0,0,0
2018Q2,5,7,2,1,1,0,0,2,0,0,0
2018Q3,2,4,4,2,1,1,1,0,2,0,1
2018Q4,1,4,2,1,2,1,1,1,0,0,1
2019Q1,0,5,1,3,0,0,0,0,0,0,1
2019Q2,5,3,0,1,2,1,0,0,0,0,0
2019Q3,0,4,1,0,0,1,0,0,0,0,0
2019Q4,0,2,1,0,1,0,0,0,0,0,0
2020Q1,0,4,3,0,1,0,0,0,0,0,0
2020Q2,1,4,0,0,1,0,0,0,0,0,0
2020Q3,4,5,0,0,1,1,1,2,2,0,0
2020Q4,0,0,0,0,1,1,0,0,0,0,0
2021Q1,0,2,0,1,1,1,0,0,0,0,0
2021Q2,0,1,0,0,4,1,0,0,0,0,0
2021Q3,0,3,0,1,1,0,1,1,0,0,1
2021Q4,4,2,0,1,6,1,0,0,0,0,0
2022Q1,0,3,2,1,12,0,0,0,1,0,0
2022Q2,1,7,3,1,8,3,0,3,0,0,0
2022Q3,5,5,4,13,22,2,0,0,2,0,0
2022Q4,2,6,2,2,9,2,1,0,0,0,0
2023Q1,2,6,0,3,11,2,0,3,1,0,0
2023Q2,9,8,1,2,9,3,1,2,0,0,0
2023Q3,1,6,2,4,14,1,1,5,0,0,0
2023Q4,1,6,1,0,4,6,0,4,0,0,1
2024Q1,3,8,0,2,13,1,0,2,0,0,0
2024Q2,5,4,1,3,1,1,0,5,0,1,0
2024Q3,1,9,0,1,1,0,1,2,0,1,2
2024Q4,3,10,1,2,3,0,0,5,1,0,0
2025Q1,1,7,2,2,2,3,0,2,0,0,0
2025Q2,2,5,0,2,1,0,1,2,0,1,0
2025Q3,2,3,0,2,0,1,1,2,0,3,1
2025Q4,6,10,1,2,1,1,1,0,1,1,0
2026Q1,0,6,1,0,0,0,0,1,0,2,0
2026Q2,1,2,1,0,0,0,1,0,0,0,0
