year,infrastructure-meta,nft,tokens-fungible,security-permissions,account-abstraction,reputation-identity,defi,rwa,governance,other,agentic-workflows
2015,0,0,1,0,0,0,0,0,0,0,0
2016,2,0,0,1,0,3,0,0,0,0,0
2017,7,0,2,0,0,0,0,0,0,1,0
2018,20,6,9,7,3,8,4,3,2,2,0
2019,14,3,5,4,0,3,2,0,0,1,0
2020,13,4,5,0,2,3,2,1,2,0,0
2021,8,12,4,3,1,0,3,1,0,1,0
2022,21,51,8,17,3,11,7,1,3,0,0
2023,26,38,13,9,14,4,12,2,1,1,0
2024,31,18,12,8,14,2,2,1,1,2,2
2025,25,4,11,8,6,3,5,3,1,1,5
2026,8,0,1,0,1,2,0,1,0,0,2
