erc,source,url,title,posts,replies,views,participants,likes,reactions,created_at,last_activity,ok,note
20,none,,,,,,,,,,,,
55,github,https://github.com/ethereum/eips/issues/55,,78,78,,,,30,2016-01-14,2026-06-11,True,
67,github,https://github.com/ethereum/EIPs/issues/67,,92,92,,,,34,2016-02-17,2024-07-25,True,
137,none,,,,,,,,,,,,
162,none,,,,,,,,,,,,
165,none,,,,,,,,,,,,
173,github,https://github.com/ethereum/EIPs/issues/173,,47,47,,,,7,2016-11-07,2022-05-18,True,
181,none,,,,,,,,,,,,
190,none,,,,,,,,,,,,
191,github,https://github.com/ethereum/EIPs/issues/191,,23,23,,,,25,2017-01-20,2026-01-16,True,
205,none,,,,,,,,,,,,
223,magicians,https://ethereum-magicians.org/t/erc-223-token-standard/12894,ERC-223 Token Standard,13,9,3430,7,2,,2023-02-09,2024-12-24,True,
600,magicians,https://ethereum-magicians.org/t/eip-erc-app-keys-application-specific-wallet-accounts/2742,EIP ERC App Keys: application specific wallet accounts,39,28,13052,12,43,,2019-02-26,2019-11-15,True,
601,magicians,https://ethereum-magicians.org/t/eip-erc-app-keys-application-specific-wallet-accounts/2742,EIP ERC App Keys: application specific wallet accounts,39,28,13052,12,43,,2019-02-26,2019-11-15,True,
634,github,https://github.com/ethereum/EIPs/issues/2439,,37,37,,,,0,2019-12-16,2023-05-05,True,
681,magicians,https://ethereum-magicians.org/t/erc-681-representing-various-transactions-as-urls,ERC-681: Representing various transactions as URLs,11,5,6848,9,7,,2018-07-05,2025-12-10,True,
721,github,https://github.com/ethereum/eips/issues/721,,398,398,,,,373,2017-09-22,2025-09-11,True,
725,magicians,https://ethereum-magicians.org/t/discussion-for-eip725/12158,Discussion for EIP725,4,1,2494,3,2,,2022-12-15,2023-01-03,True,
777,github,https://github.com/ethereum/EIPs/issues/777,,514,514,,,,126,2017-11-20,2022-07-06,True,
801,none,,,,,,,,,,,,
820,github,https://github.com/ethereum/EIPs/issues/820,,82,82,,,,31,2018-01-05,2022-01-02,True,
823,none,,,,,,,,,,,,
831,magicians,https://ethereum-magicians.org/t/eip-831-uri-format-for-ethereum/10105,EIP-831 - URI Format for Ethereum,8,2,3331,5,5,,2022-07-25,2025-12-28,True,
838,magicians,https://ethereum-magicians.org/t/eip-838-what-is-the-current-status/14671,EIP-838: What is the current status?,4,1,1066,2,2,,2023-06-13,2024-06-12,True,
875,github,https://github.com/ethereum/EIPs/issues/875,,45,45,,,,17,2018-02-08,2021-12-19,True,
884,none,,,,,,,,,,,,
897,github,https://github.com/ethereum/EIPs/pull/897,,17,17,,,,29,2018-02-22,2025-08-13,True,
900,github,https://github.com/ethereum/EIPs/issues/900,,38,38,,,,32,2018-02-23,2022-01-01,True,
902,magicians,https://ethereum-magicians.org/t/update-on-erc902-validated-token/1639,Update on ERC902: Validated Token,2,0,3280,2,2,,2018-10-21,2019-09-05,True,
918,none,,,,,,,,,,,,
926,none,,,,,,,,,,,,
927,none,,,,,,,,,,,,
998,magicians,https://ethereum-magicians.org/t/erc-998-composable-non-fungible-tokens-cnfts/387,ERC-998 Composable Non-Fungible Tokens (CNFTs),1,0,2488,1,3,,2018-05-17,2018-05-17,True,
1046,magicians,https://ethereum-magicians.org/t/eip-1046-erc-20-metadata-extension/13036,EIP-1046: ERC-20 Metadata and Token URI Interop,5,1,2557,4,3,,2023-02-23,2024-06-22,True,
1056,github,https://github.com/ethereum/EIPs/issues/1056,,31,31,,,,72,2018-05-03,2022-01-01,True,
1062,magicians,https://ethereum-magicians.org/t/eip-1062-formalize-ipfs-hash-into-ens-ethereum-name-service-resolver/281,EIP-1062: Formalize IPFS hash into ENS(Ethereum Name Service) resolver,32,17,6364,10,27,,2018-05-05,2018-11-21,True,
1066,magicians,https://ethereum-magicians.org/t/erc-1066-ethereum-status-codes-esc/,ERC-1066: Ethereum Status Codes (ESC),50,23,14946,18,41,,2018-05-05,2019-04-19,True,
1077,magicians,https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,ERC-1077 and ERC-1078: The magic of executable signed messages to login and do actions,28,10,15105,13,23,,2018-05-14,2020-01-09,True,
1078,magicians,https://ethereum-magicians.org/t/erc1077-and-1078-the-magic-of-executable-signed-messages-to-login-and-do-actions/351,ERC-1077 and ERC-1078: The magic of executable signed messages to login and do actions,28,10,15105,13,23,,2018-05-14,2020-01-09,True,
1080,magicians,https://ethereum-magicians.org/t/erc-1080-recoverabletoken-standard/364,ERC-1080: RecoverableToken Standard,14,7,5411,5,4,,2018-05-15,2021-02-04,True,
1081,other,https://gitter.im/bounties-network/Lobby,,,,,,,,,,,
1123,github,https://github.com/ethereum/EIPs/issues/1123,,5,5,,,,11,2018-05-29,2021-12-19,True,
1129,magicians,https://ethereum-magicians.org/t/eip-sda-standardised-dapp-announcements/508?u=thunderdeliverer,EIP-SDA: Standardised DAPP announcements,4,1,3351,2,0,,2018-06-05,2018-06-22,True,
1132,github,https://github.com/ethereum/EIPs/issues/1132,,20,20,,,,9,2018-06-02,2021-12-19,True,
1154,github,https://github.com/ethereum/EIPs/issues/1161,,35,35,,,,2,2018-06-19,2024-06-16,True,
1155,github,https://github.com/ethereum/EIPs/issues/1155,,467,467,,,,162,2018-06-17,2024-03-13,True,
1167,github,https://github.com/optionality/clone-factory/issues/10,,38,38,,,,6,2018-06-20,2022-12-28,True,
1175,github,https://github.com/ethereum/EIPs/issues/1182,,2,2,,,,1,2018-06-25,2021-12-19,True,
1178,github,https://github.com/ethereum/EIPs/issues/1179,,8,8,,,,0,2018-06-22,2024-10-21,True,
1185,magicians,https://ethereum-magicians.org/t/eip1185-dns-resolver-profile-for-ens/1589,EIP1185: DNS resolver profile for ENS,3,1,3530,3,4,,2018-10-15,2024-12-25,True,
1191,github,https://github.com/ethereum/EIPs/issues/1121,,69,69,,,,6,2018-05-29,2025-09-03,True,
